ibge_code,population,date
1100015,22728,2020
1100023,109523,2020
1100031,5188,2020
1100049,85893,2020
1100056,16204,2020
1100064,15544,2020
1100072,7220,2020
1100080,18798,2020
1100098,32695,2020
1100106,46556,2020
1100114,51620,2020
1100122,130009,2020
1100130,40867,2020
1100148,20489,2020
1100155,35737,2020
1100189,36881,2020
1100205,539354,2020
1100254,18571,2020
1100262,3804,2020
1100288,55407,2020
1100296,6216,2020
1100304,102211,2020
1100320,23077,2020
1100338,31392,2020
1100346,14106,2020
1100379,13255,2020
1100403,21847,2020
1100452,40356,2020
1100502,8329,2020
1100601,6269,2020
1100700,14266,2020
1100809,27388,2020
1100908,2987,2020
1100924,11472,2020
1100940,26183,2020
1101005,7445,2020
1101104,10641,2020
1101203,9559,2020
1101302,10818,2020
1101401,16007,2020
1101435,6895,2020
1101450,6198,2020
1101468,2148,2020
1101476,2776,2020
1101484,5066,2020
1101492,20681,2020
1101500,11851,2020
1101559,4233,2020
1101609,10395,2020
1101708,11272,2020
1101757,11377,2020
1101807,6656,2020
1200013,15490,2020
1200054,7534,2020
1200104,26702,2020
1200138,10420,2020
1200179,12008,2020
1200203,89072,2020
1200252,18696,2020
1200302,34884,2020
1200328,8473,2020
1200336,19311,2020
1200344,9581,2020
1200351,19299,2020
1200385,19955,2020
1200393,12241,2020
1200401,413418,2020
1200427,19351,2020
1200435,6717,2020
1200450,23236,2020
1200500,46511,2020
1200609,43151,2020
1200708,19596,2020
1200807,18824,2020
1300029,16220,2020
1300060,11736,2020
1300086,13956,2020
1300102,21477,2020
1300144,22359,2020
1300201,20398,2020
1300300,40290,2020
1300409,27638,2020
1300508,32483,2020
1300607,43935,2020
1300631,20093,2020
1300680,19626,2020
1300706,34635,2020
1300805,41748,2020
1300839,13283,2020
1300904,15807,2020
1301001,28508,2020
1301100,38348,2020
1301159,30846,2020
1301209,85910,2020
1301308,29168,2020
1301407,35700,2020
1301506,20393,2020
1301605,17005,2020
1301654,16937,2020
1301704,56144,2020
1301803,30436,2020
1301852,49011,2020
1301902,102701,2020
1301951,7814,2020
1302009,9230,2020
1302108,2251,2020
1302207,15106,2020
1302306,13886,2020
1302405,46882,2020
1302504,98502,2020
1302553,33049,2020
1302603,2219580,2020
1302702,56583,2020
1302801,18261,2020
1302900,65040,2020
1303007,21443,2020
1303106,38026,2020
1303205,19928,2020
1303304,26046,2020
1303403,115363,2020
1303502,19522,2020
1303536,37193,2020
1303569,34106,2020
1303601,25865,2020
1303700,21243,2020
1303809,46303,2020
1303908,40073,2020
1303957,14352,2020
1304005,9230,2020
1304062,67182,2020
1304104,17015,2020
1304203,59547,2020
1304237,18897,2020
1304260,13690,2020
1304302,16130,2020
1304401,23585,2020
1400027,13185,2020
1400050,15380,2020
1400100,419652,2020
1400159,12557,2020
1400175,18799,2020
1400209,22283,2020
1400233,10383,2020
1400282,12296,2020
1400308,18172,2020
1400407,11532,2020
1400456,18913,2020
1400472,30782,2020
1400506,8348,2020
1400605,8110,2020
1400704,10789,2020
1500107,159080,2020
1500131,7486,2020
1500206,55669,2020
1500305,39567,2020
1500347,27615,2020
1500404,57092,2020
1500503,34076,2020
1500602,115969,2020
1500701,29688,2020
1500800,535547,2020
1500859,28607,2020
1500909,46471,2020
1500958,31773,2020
1501006,16404,2020
1501105,31325,2020
1501204,48459,2020
1501253,3262,2020
1501303,127027,2020
1501402,1499641,2020
1501451,17839,2020
1501501,63768,2020
1501576,17118,2020
1501600,16530,2020
1501709,128914,2020
1501725,14983,2020
1501758,7368,2020
1501782,67332,2020
1501808,103497,2020
1501907,29427,2020
1501956,34609,2020
1502004,24064,2020
1502103,139364,2020
1502152,38103,2020
1502202,69431,2020
1502301,54425,2020
1502400,203251,2020
1502509,23948,2020
1502608,12131,2020
1502707,47991,2020
1502756,33781,2020
1502764,13761,2020
1502772,17846,2020
1502806,34994,2020
1502855,14587,2020
1502905,40584,2020
1502939,60469,2020
1502954,33940,2020
1503002,7070,2020
1503044,20525,2020
1503077,26111,2020
1503093,41081,2020
1503101,33755,2020
1503200,39023,2020
1503309,63036,2020
1503408,11861,2020
1503457,65625,2020
1503507,32595,2020
1503606,101395,2020
1503705,53355,2020
1503754,7590,2020
1503804,59842,2020
1503903,58960,2020
1504000,29282,2020
1504059,30235,2020
1504109,8573,2020
1504208,283542,2020
1504307,29516,2020
1504406,28450,2020
1504422,133685,2020
1504455,31975,2020
1504505,27890,2020
1504604,31530,2020
1504703,83182,2020
1504752,16184,2020
1504802,58162,2020
1504901,40906,2020
1504950,21444,2020
1504976,16854,2020
1505007,15506,2020
1505031,25766,2020
1505064,77214,2020
1505106,52306,2020
1505205,32850,2020
1505304,74016,2020
1505403,17961,2020
1505437,33335,2020
1505486,48414,2020
1505494,7582,2020
1505502,114503,2020
1505536,213576,2020
1505551,5410,2020
1505601,8081,2020
1505635,12979,2020
1505650,31659,2020
1505700,31549,2020
1505809,62945,2020
1505908,41801,2020
1506005,29846,2020
1506104,10857,2020
1506112,13702,2020
1506138,85563,2020
1506161,18201,2020
1506187,52803,2020
1506195,51500,2020
1506203,40922,2020
1506302,24075,2020
1506351,21449,2020
1506401,10314,2020
1506500,71837,2020
1506559,19843,2020
1506583,21850,2020
1506609,24995,2020
1506708,74419,2020
1506807,306480,2020
1506906,6753,2020
1507003,31918,2020
1507102,18129,2020
1507151,25753,2020
1507201,32139,2020
1507300,132138,2020
1507409,15930,2020
1507458,24705,2020
1507466,6217,2020
1507474,23244,2020
1507508,14051,2020
1507607,59632,2020
1507706,26974,2020
1507755,6009,2020
1507805,11480,2020
1507904,25565,2020
1507953,108969,2020
1507961,11847,2020
1507979,18917,2020
1508001,64030,2020
1508035,31257,2020
1508050,19168,2020
1508084,40136,2020
1508100,115144,2020
1508126,60761,2020
1508159,45435,2020
1508209,54172,2020
1508308,61751,2020
1508357,15279,2020
1508407,45086,2020
1600055,5488,2020
1600105,9187,2020
1600154,17067,2020
1600204,11306,2020
1600212,6101,2020
1600238,7967,2020
1600253,5617,2020
1600279,51362,2020
1600303,512902,2020
1600402,22053,2020
1600501,27906,2020
1600535,22452,2020
1600550,5246,2020
1600600,123096,2020
1600709,17769,2020
1600808,16254,2020
1700251,2594,2020
1700301,6892,2020
1700350,5346,2020
1700400,6979,2020
1700707,8396,2020
1701002,9492,2020
1701051,3454,2020
1701101,4848,2020
1701309,5731,2020
1701903,7155,2020
1702000,8467,2020
1702109,183381,2020
1702158,5793,2020
1702208,36170,2020
1702307,6616,2020
1702406,10534,2020
1702554,18643,2020
1702703,3783,2020
1702901,9787,2020
1703008,10666,2020
1703057,3592,2020
1703073,4632,2020
1703107,5651,2020
1703206,4448,2020
1703305,5008,2020
1703602,2211,2020
1703701,5519,2020
1703800,11497,2020
1703826,2284,2020
1703842,10312,2020
1703867,4441,2020
1703883,2603,2020
1703891,4130,2020
1703909,5442,2020
1704105,2936,2020
1704600,1410,2020
1705102,3331,2020
1705508,35851,2020
1705557,4861,2020
1705607,4087,2020
1706001,5639,2020
1706100,7278,2020
1706258,1735,2020
1706506,6174,2020
1707009,22424,2020
1707108,6943,2020
1707207,7185,2020
1707306,4686,2020
1707405,11139,2020
1707553,3830,2020
1707652,5243,2020
1707702,8874,2020
1708205,18399,2020
1708254,2602,2020
1708304,5130,2020
1709005,13095,2020
1709302,26165,2020
1709500,87545,2020
1709807,2052,2020
1710508,7452,2020
1710706,5832,2020
1710904,3795,2020
1711100,2420,2020
1711506,3878,2020
1711803,2184,2020
1711902,13676,2020
1711951,4393,2020
1712009,3167,2020
1712157,1954,2020
1712405,3733,2020
1712454,3154,2020
1712504,5254,2020
1712702,2729,2020
1712801,3448,2020
1713205,17936,2020
1713304,13493,2020
1713601,8066,2020
1713700,2295,2020
1713809,6745,2020
1713957,3587,2020
1714203,9250,2020
1714302,3834,2020
1714880,11917,2020
1715002,4304,2020
1715101,4397,2020
1715150,2332,2020
1715259,2745,2020
1715507,1118,2020
1715705,6131,2020
1715754,7676,2020
1716109,51891,2020
1716208,10437,2020
1716307,4867,2020
1716505,13773,2020
1716604,11873,2020
1716653,5512,2020
1716703,8141,2020
1717008,4430,2020
1717206,3033,2020
1717503,7743,2020
1717800,4591,2020
1717909,8116,2020
1718006,3170,2020
1718204,53316,2020
1718303,8498,2020
1718402,3676,2020
1718451,2717,2020
1718501,4342,2020
1718550,4684,2020
1718659,2171,2020
1718709,2856,2020
1718758,6488,2020
1718808,4794,2020
1718840,3373,2020
1718865,7595,2020
1718881,3486,2020
1718899,2386,2020
1718907,4846,2020
1719004,2897,2020
1720002,2530,2020
1720101,5391,2020
1720150,1598,2020
1720200,12294,2020
1720259,3094,2020
1720309,4852,2020
1720499,3904,2020
1720655,5428,2020
1720804,8997,2020
1720853,1986,2020
1720903,16825,2020
1720937,2166,2020
1720978,2812,2020
1721000,306296,2020
1721109,7617,2020
1721208,22845,2020
1721257,1922,2020
1721307,2729,2020
1722081,11734,2020
1722107,11520,2020
2100055,113121,2020
2100105,6578,2020
2100154,12652,2020
2100204,22112,2020
2100303,26757,2020
2100402,8189,2020
2100436,27858,2020
2100477,31943,2020
2100501,11212,2020
2100550,7005,2020
2100600,41729,2020
2100709,26988,2020
2100808,15894,2020
2100832,17413,2020
2100873,15551,2020
2100907,46771,2020
2100956,32764,2020
2101004,29932,2020
2101103,12183,2020
2101202,104790,2020
2101251,17252,2020
2101301,18654,2020
2101350,5670,2020
2101400,95929,2020
2101509,18924,2020
2101608,88492,2020
2101707,63217,2020
2101731,7528,2020
2101772,11279,2020
2101806,5638,2020
2101905,21299,2020
2101939,6073,2020
2101970,8382,2020
2102002,41822,2020
2102036,34567,2020
2102077,16438,2020
2102101,36651,2020
2102150,9014,2020
2102200,28798,2020
2102309,23939,2020
2102325,72983,2020
2102358,15467,2020
2102374,9478,2020
2102408,11216,2020
2102507,19451,2020
2102556,14453,2020
2102606,20278,2020
2102705,22117,2020
2102754,10935,2020
2102804,24165,2020
2102903,23952,2020
2103000,165525,2020
2103109,10693,2020
2103125,8740,2020
2103158,13670,2020
2103174,21840,2020
2103208,80195,2020
2103257,14777,2020
2103307,123116,2020
2103406,49621,2020
2103505,41312,2020
2103554,16400,2020
2103604,65544,2020
2103703,32626,2020
2103752,12916,2020
2103802,23372,2020
2103901,11401,2020
2104008,17104,2020
2104057,42527,2020
