ibge_code,population
1100015,22728
1100023,109523
1100031,5188
1100049,85893
1100056,16204
1100064,15544
1100072,7220
1100080,18798
1100098,32695
1100106,46556
1100114,51620
1100122,130009
1100130,40867
1100148,20489
1100155,35737
1100189,36881
1100205,539354
1100254,18571
1100262,3804
1100288,55407
1100296,6216
1100304,102211
1100320,23077
1100338,31392
1100346,14106
1100379,13255
1100403,21847
1100452,40356
1100502,8329
1100601,6269
1100700,14266
1100809,27388
1100908,2987
1100924,11472
1100940,26183
1101005,7445
1101104,10641
1101203,9559
1101302,10818
1101401,16007
1101435,6895
1101450,6198
1101468,2148
1101476,2776
1101484,5066
1101492,20681
1101500,11851
1101559,4233
1101609,10395
1101708,11272
1101757,11377
1101807,6656
1200013,15490
1200054,7534
1200104,26702
1200138,10420
1200179,12008
1200203,89072
1200252,18696
1200302,34884
1200328,8473
1200336,19311
1200344,9581
1200351,19299
1200385,19955
1200393,12241
1200401,413418
1200427,19351
1200435,6717
1200450,23236
1200500,46511
1200609,43151
1200708,19596
1200807,18824
1300029,16220
1300060,11736
1300086,13956
1300102,21477
1300144,22359
1300201,20398
1300300,40290
1300409,27638
1300508,32483
1300607,43935
1300631,20093
1300680,19626
1300706,34635
1300805,41748
1300839,13283
1300904,15807
1301001,28508
1301100,38348
1301159,30846
1301209,85910
1301308,29168
1301407,35700
1301506,20393
1301605,17005
1301654,16937
1301704,56144
1301803,30436
1301852,49011
1301902,102701
1301951,7814
1302009,9230
1302108,2251
1302207,15106
1302306,13886
1302405,46882
1302504,98502
1302553,33049
1302603,2219580
1302702,56583
1302801,18261
1302900,65040
1303007,21443
1303106,38026
1303205,19928
1303304,26046
1303403,115363
1303502,19522
1303536,37193
1303569,34106
1303601,25865
1303700,21243
1303809,46303
1303908,40073
1303957,14352
1304005,9230
1304062,67182
1304104,17015
1304203,59547
1304237,18897
1304260,13690
1304302,16130
1304401,23585
1400027,13185
1400050,15380
1400100,419652
1400159,12557
1400175,18799
1400209,22283
1400233,10383
1400282,12296
1400308,18172
1400407,11532
1400456,18913
1400472,30782
1400506,8348
1400605,8110
1400704,10789
1500107,159080
1500131,7486
1500206,55669
1500305,39567
1500347,27615
1500404,57092
1500503,34076
1500602,115969
1500701,29688
1500800,535547
1500859,28607
1500909,46471
1500958,31773
1501006,16404
1501105,31325
1501204,48459
1501253,3262
1501303,127027
1501402,1499641
1501451,17839
1501501,63768
1501576,17118
1501600,16530
1501709,128914
1501725,14983
1501758,7368
1501782,67332
1501808,103497
1501907,29427
1501956,34609
1502004,24064
1502103,139364
1502152,38103
1502202,69431
1502301,54425
1502400,203251
1502509,23948
1502608,12131
1502707,47991
1502756,33781
1502764,13761
1502772,17846
1502806,34994
1502855,14587
1502905,40584
1502939,60469
1502954,33940
1503002,7070
1503044,20525
1503077,26111
1503093,41081
1503101,33755
1503200,39023
1503309,63036
1503408,11861
1503457,65625
1503507,32595
1503606,101395
1503705,53355
1503754,7590
1503804,59842
1503903,58960
1504000,29282
1504059,30235
1504109,8573
1504208,283542
1504307,29516
1504406,28450
1504422,133685
1504455,31975
1504505,27890
1504604,31530
1504703,83182
1504752,16184
1504802,58162
1504901,40906
1504950,21444
1504976,16854
1505007,15506
1505031,25766
1505064,77214
1505106,52306
1505205,32850
1505304,74016
1505403,17961
1505437,33335
