epi_week,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.423221059,0.45443029,0.356977471,0.369843505,0.485907944,0.462397741,0.021185165,0.379780505,0.381219048,0.427305313,0.430660933,0.510092553,0.503762671,0.382197324,0.322782529,0.131019219,0.251789131,0.356011239,0.294721231,0.014702728,0.471569625,0.377873926,0.351985818,0.071070168,0.341930725,0.166438562,
11,0.423221059,0.45443029,0.040022687,0.369843505,0.485907944,0.462397741,0.021185165,0.379780505,0.381219048,0.427305313,0.008886147,0.510092553,0.006514945,0.044013598,0.071007016,0.060453267,0.090670837,0.356011239,0.126739147,0.01565316,0.112305786,0.080556916,0.059902276,0.163484529,0.341930725,0.098761281,
12,0.167841041,0.093987763,0.040022687,0.109326574,0.019385137,0.173193498,0.026862282,0.017280366,0.006948327,0.026327414,0.075652096,0.018449886,0.014653806,0.044013598,0.122768845,0.104220934,0.082740824,0.014043404,0.119009463,0.012501571,0.137853264,0.098538732,0.061959703,0.171527489,0.022379681,0.09711666,
13,0.101139048,0.093987763,0.039901913,0.087300724,0.087889555,0.173193498,0.087880356,0.017280366,0.09571571,0.018228753,0.195573927,0.175648861,0.064410434,0.064080172,0.071007016,0.054711361,0.036070413,0.02348204,0.131990026,0.012418064,0.307426823,0.099116267,0.056972193,0.184940397,0.083701859,0.007406569,
14,0.123571196,0.011918564,0.048344043,0.073798671,0.116246954,0.190796881,0.21145277,0.034577419,0.014344045,0.020669297,0.222341113,0.080389335,0.017233338,0.029054919,0.031283995,0.054554502,0.090249793,0.077883564,0.121297913,0.010966379,0.329630137,0.077597408,0.035320929,0.277608891,0.068396508,0.025451531,
15,0.185582345,0.068158161,0.041516081,0.133959384,0.040015824,0.147812471,0.045232458,0.034478263,0.071370542,0.036850697,0.177119018,0.03637049,0.02468295,0.043083885,0.053628715,0.093040781,0.148733414,0.04042402,0.115294406,0.018315534,0.259768113,0.09086909,0.101599328,0.317803926,0.093069958,0.024648975,
16,0.131211421,0.079771665,0.050795592,0.097527945,0.027597739,0.136750148,0.100768296,0.031576208,0.036637456,0.032727922,0.13612856,0.0786767,0.019303414,0.04393229,0.121627821,0.048189755,0.133600139,0.036664956,0.110062766,0.029226759,0.377892542,0.121273559,0.115905493,0.16537367,0.032941926,0.046971738,
17,0.117185267,0.097217094,0.089216669,0.064162641,0.020905706,0.137474705,0.404425175,0.071834065,0.080398603,0.042590675,0.128367274,0.110152818,0.023365184,0.044642893,0.114122748,0.071791576,0.116921766,0.027960583,0.106173645,0.021255722,0.401499146,0.218467262,0.202178779,0.325938761,0.057686125,0.043789137,
18,0.138488021,0.10378856,0.092546894,0.051622048,0.035520618,0.180405759,0.341349742,0.093126871,0.05495418,0.057304889,0.207614952,0.082695546,0.02545435,0.046399593,0.052271205,0.055353535,0.123525313,0.029668636,0.08685551,0.024939679,0.483153076,0.261865278,0.204603551,0.21515733,0.089981599,0.035560413,
19,0.120740972,0.123840627,0.124842035,0.035272372,0.038967984,0.15307233,0.395088083,0.14250545,0.048783531,0.066384192,0.250210538,0.119747632,0.035687984,0.060677229,0.044609656,0.05531357,0.098874002,0.05317736,0.103187859,0.036562432,0.351082417,0.327151391,0.220915079,0.183500228,0.159209067,0.062797627,
20,0.133942852,0.345273732,0.136440195,0.04484762,0.07803196,0.154668149,0.423609352,0.199888579,0.070237559,0.090764628,0.291330738,0.185889297,0.03655372,0.081042808,0.042633715,0.061921676,0.112387777,0.072290902,0.102575861,0.044366363,0.362936297,0.326860868,0.189073155,0.251184249,0.148181609,0.046953274,
21,0.144917665,0.208230177,0.158667719,0.053146543,0.105675524,0.249293774,0.47354251,0.206185286,0.05896839,0.129683274,0.254156923,0.184188164,0.054417408,0.110521077,0.095827207,0.062322455,0.045694181,0.076493089,0.095607739,0.039370956,0.385563672,0.352797515,0.214163059,0.287843405,0.144311871,0.03215331,
