epi_week,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.423221059,0.45443029,0.356977471,0.369843505,0.485907944,0.462397741,0.021185165,0.379780505,0.381219048,0.427305313,0.430660933,0.510092553,0.503762671,0.382197324,0.322782529,0.432945708,0.251789131,0.356011239,0.136039267,0.016308129,0.471569625,0.377873926,0.351985818,0.071070168,0.341930725,0.166438562,
13,0.423221059,0.45443029,0.23604078,0.369843505,0.485907944,0.462397741,0.021185165,0.379780505,0.267239196,0.427305313,0.655981273,0.510092553,0.006514945,0.382197324,0.322782529,0.432945708,0.251789131,0.356011239,0.163752137,0.009912029,0.66582105,0.087877824,0.010711354,0.071070168,0.341930725,0.285582013,
14,0.101139048,0.45443029,0.038738671,0.109326574,0.6393096,0.173193498,0.021185165,0.017280366,0.132550745,0.080170828,0.435309865,0.377978949,0.011764341,0.044013598,0.071007016,0.083997243,0.205526925,0.125977183,0.096003918,0.012698637,0.578385339,0.104796853,0.034053175,0.667487505,0.328732263,0.017690023,
15,0.101139048,0.093987763,0.033582128,0.395413349,0.00697217,0.08526545,0.021185165,0.015128133,0.006948327,0.077327053,0.411668871,0.009963925,0.038229157,0.044013598,0.071007016,0.038681604,0.172081488,0.206705721,0.099238721,0.035785058,0.374089207,0.102282786,0.123910347,0.667487505,0.451469252,0.083158355,
16,0.240610063,0.056351282,0.038682715,0.369843505,0.10378812,0.173193498,0.026862282,0.060174276,0.206211448,0.048394038,0.353341565,0.105228131,0.026543041,0.055040903,0.526133148,0.083058559,0.198473248,0.029536373,0.098312509,0.02324996,0.41017497,0.08127417,0.120231268,0.291938638,0.111468343,0.016731586,
17,0.240610063,0.093987763,0.038110667,0.109326574,0.071537029,0.134065805,0.106782788,0.048713093,0.117989783,0.034474134,0.16869178,0.14682197,0.032554635,0.072074498,0.153071141,0.061482111,0.128793826,0.040922175,0.091290879,0.033737428,0.473904443,0.134252545,0.196587935,0.640004566,0.149829222,0.155598099,
18,0.160197654,0.079749988,0.062525869,0.109326574,0.016162721,0.237529683,0.471202758,0.05773328,0.147921749,0.032892001,0.292060003,0.085043883,0.038621963,0.076941207,0.176273121,0.046908841,0.211088844,0.062369237,0.106757038,0.010495149,0.254875747,0.189818951,0.212056044,0.418011008,0.261813262,0.184890161,
19,0.137158112,0.09814548,0.094306605,0.109326574,0.063807013,0.188912435,0.385903036,0.066594804,0.063743487,0.048194944,0.352059567,0.120842151,0.050802594,0.097627468,0.126727642,0.05062438,0.165706728,0.06588275,0.112357152,0.019500728,0.367421167,0.246161144,0.209760732,0.163484529,0.191730063,0.096164375,
20,0.199024724,0.129958885,0.09762311,0.067645412,0.023667924,0.2081803,0.575471499,0.107146967,0.127387276,0.063818188,0.274353588,0.169880825,0.051789208,0.062117316,0.15845809,0.062601425,0.083450286,0.038562828,0.113209839,0.032359473,0.219887081,0.207717601,0.247144605,0.407015693,0.124295574,0.010619902,
21,0.205817823,0.181663423,0.090947091,0.095327877,0.058527814,0.222310239,0.555114026,0.157999694,0.061421992,0.07950305,0.253045227,0.177032646,0.04287516,0.073188958,0.060416718,0.05359496,0.070149578,0.086845292,0.1120505,0.021445563,0.336128629,0.327658081,0.185994375,0.372286481,0.087584152,0.063429862,
22,0.131603279,0.176357034,0.107787866,0.081770125,0.06267356,0.169803819,0.323839755,0.196430218,0.050511134,0.087775996,0.231033969,0.116841068,0.044143128,0.078899278,0.096306411,0.028164998,0.021042039,0.060478899,0.092347518,0.015958615,0.251063114,0.357037831,0.154444606,0.304934861,0.152396297,0.117804945,
23,0.136995313,0.247335234,0.134821145,0.139256504,0.122345632,0.148345825,0.45545215,0.206864715,0.031219012,0.097549046,0.184110035,0.143644936,0.056567057,0.074195257,0.098501546,0.053198973,0.049948779,0.0402733,0.097952142,0.028546346,0.393992635,0.355495073,0.187078395,0.163484529,0.080189855,0.089545733,
24,0.168551934,0.181952059,0.11050195,0.103525625,0.123623305,0.141572326,0.50948457,0.222443422,0.087083107,0.10712046,0.220448888,0.176538449,0.055032835,0.074725202,0.057915464,0.037600636,0.080915151,0.081112786,0.10188621,0.040200778,0.262394327,0.354898636,0.195835223,0.383287892,0.084800882,0.070137248,
25,0.140394138,0.25287168,0.138302289,0.04679954,0.197073072,0.157697744,0.486127639,0.200003629,0.056819495,0.162710597,0.136517621,0.171402916,0.090549555,0.109188563,0.073056789,0.064356873,0.06996582,0.073765279,0.099464654,0.053502428,0.36175054,0.325096389,0.195983312,0.277860342,0.104037955,0.026303583,
26,0.167714047,0.187972926,0.140263211,0.145336051,0.180043589,0.154743544,0.520556014,0.160718868,0.046606089,0.211495022,0.14583977,0.17675799,0.080566997,0.12946262,0.069170345,0.07634382,0.075736335,0.082917961,0.094352835,0.071046095,0.298862956,0.195457874,0.170367382,0.357029572,0.084256351,0.061079658,
27,0.251720916,0.256491384,0.088151185,0.078465375,0.20124822,0.172699912,0.357351525,0.194539184,0.033474342,0.231843585,0.143533495,0.165913766,0.09921428,0.155667583,0.050367683,0.064605433,0.093283286,0.110255634,0.084179668,0.08208387,0.305017656,0.191855423,0.085112234,0.223841207,0.072133759,0.033178616,
28,0.204732867,0.228306585,0.139773047,0.080248935,0.20848256,0.206913898,0.346308181,0.156611595,0.044124104,0.246216482,0.158451248,0.161686473,0.107339983,0.196443467,0.077206463,0.07449972,0.058729051,0.09011505,0.074342744,0.101623236,0.268902663,0.1316529,0.074993929,0.160433325,0.096887676,0.046850757,
29,0.26443088,0.279196378,0.10862215,0.064310415,0.288980144,0.180143563,0.291678427,0.170697004,0.04690051,0.272973567,0.193146808,0.186578634,0.106239677,0.237544153,0.113926981,0.112685108,0.052355979,0.131214983,0.083542327,0.10498699,0.182065737,0.163110935,0.088710561,0.06521288,0.098056672,0.01714448,
30,0.211357951,0.305738474,0.211176486,0.130628866,0.466501161,0.159219644,0.323949034,0.190039389,0.029313641,0.290148151,0.158816878,0.188056618,0.123905704,0.209406705,0.105358654,0.128049727,0.090422012,0.128779025,0.104284708,0.129088894,0.222232364,0.161632543,0.068739697,0.089752531,0.121345951,0.028399337,
31,0.243455206,0.18196071,0.171170511,0.090531033,0.272069565,0.182768157,0.217616523,0.185962508,0.0376567,0.422332316,0.133738674,0.172570059,0.132705163,0.190737628,0.1334294,0.142260823,0.077602495,0.134723599,0.104645645,0.143256896,0.208695456,0.185442549,0.076767337,0.050770384,0.108542063,0.013724347,
32,0.379138294,0.238988077,0.183301319,0.063118124,0.19474842,0.145894953,0.135108246,0.272676695,0.05374251,0.370945873,0.18347811,0.24350822,0.140395259,0.186122149,0.136747803,0.120149223,0.082257121,0.140238252,0.095810095,0.127228645,0.222945659,0.161564586,0.065388101,0.092643508,0.124325802,0.026547439,
33,0.290427498,0.191453887,0.063404859,0.154594178,0.221991386,0.172647775,0.206655188,0.302733889,0.076243795,0.370379307,0.220115472,0.171246407,0.188954125,0.207100474,0.146187059,0.132719631,0.085680997,0.162085057,0.10097662,0.128525632,0.222064244,0.166454892,0.084701778,0.103742223,0.111248274,0.051212471,
34,0.360315368,0.173041268,0.123643391,0.138334933,0.233916644,0.148052017,0.181598487,0.37045189,0.084092472,0.41662947,0.169289376,0.247700032,0.198361698,0.178419669,0.156879842,0.129709721,0.089714491,0.182708522,0.091287577,0.148393281,0.232087721,0.180092656,0.089939978,0.052253295,0.341930725,0.029262836,
35,0.347663908,0.322401409,0.055875342,0.053566181,0.258102953,0.208811297,0.166359056,0.379322694,0.104343651,0.406708467,0.256206011,0.22604763,0.172078897,0.162686364,0.138135378,0.133064867,0.132277468,0.143866306,0.089592236,0.134182392,0.287950935,0.185465835,0.094933776,0.042079642,0.341930725,0.025583889,
36,0.380041922,0.331416891,0.05135094,0.02878642,0.290564903,0.140377634,0.19810169,0.338206376,0.143615492,0.339302951,0.294430601,0.249659867,0.149712042,0.150135075,0.122698941,0.146038508,0.14732111,0.200681239,0.104554343,0.171853662,0.237583444,0.250970963,0.100561785,0.090331059,0.341930725,0.050435875,
37,0.376539609,0.273916486,0.10467311,0.04801794,0.261888869,0.144947165,0.250334728,0.399355666,0.139700757,0.376611698,0.315723661,0.342569274,0.162528999,0.237058891,0.108375269,0.201493238,0.146832029,0.177093226,0.115392428,0.163284845,0.295557147,0.255172625,0.100920708,0.104456698,0.341930725,0.058910076,
38,0.370721451,0.236489346,0.110804385,0.109326574,0.195499774,0.255193986,0.27468178,0.360676326,0.09859206,0.384153529,0.34440257,0.322137621,0.204739174,0.245260979,0.152410358,0.158799455,0.122151286,0.192684943,0.091628722,0.161038764,0.28386413,0.201133426,0.091204526,0.059343802,0.341930725,0.020754849,
39,0.194660143,0.09425691,0.07170903,0.245554828,0.193339893,0.27304783,0.152234531,0.365719344,0.173365292,0.450662178,0.385727491,0.317318788,0.142641702,0.114215697,0.10294326,0.134012381,0.125527651,0.193559958,0.10034098,0.151005497,0.284747103,0.222345649,0.087087455,0.043762592,0.341930725,0.046569836,
40,0.311050303,0.178143213,0.037507844,0.073822831,0.218475462,0.147116657,0.297632469,0.353914862,0.137882974,0.424188899,0.251091098,0.276979574,0.149949656,0.205287743,0.098911407,0.155034531,0.110480152,0.356011239,0.084447366,0.184442441,0.247363535,0.24885962,0.129377327,0.09135981,0.341930725,0.052513007,
