epi_week,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.37,NaN,NaN,NaN,NaN,NaN,NaN,NA
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.85,NaN,NaN,60.08,73.07,NaN,NaN,NaN,NaN,NaN,NaN,NA
11,NaN,NaN,47.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.8,NaN,82.81,69.41,71.33,76.52,94.5,NaN,58.18,72.08,82.35,84.7,81.83,67.75,NaN,75.01,NA
12,62.74,53.78,47.25,33.51,82.74,40.48,80.74,84.41,73.55,67.29,58.74,79.76,74.66,69.41,68.44,70.5,77.41,66.62,55.91,65.03,66.37,66.05,69.67,62.3,82.47,59.77,NA
13,69.98,53.78,41.92,31.52,67.36,40.48,69.21,84.41,68.71,66.53,52.38,67.69,62.51,68.81,71.33,65.55,72.24,55.73,53.21,62.8,60.06,55.07,63.64,58.61,74.05,57.79,NA
14,67.1,49.94,39.98,30.53,57.61,37.24,67.8,75.26,72.12,64.63,48.17,74.86,63.29,67.84,65.69,61.87,66.17,39.92,39.77,53.32,44.12,55.61,62.83,53.93,58.81,64.56,NA
15,54.46,50.38,40.23,28.08,64.64,27.68,60.16,73.9,72.5,56.64,49.56,68.99,53.02,65.66,67.34,57.49,60.19,47.5,30.14,43.84,54.97,47.01,52.27,62.74,59.98,52.64,NA
16,54.44,46.96,37.14,27,59.98,20.88,79.3,72.91,57.41,52.5,38.78,58.45,52.76,60.95,52.19,64.43,53.1,44.63,26.07,39.59,48.94,48.46,50.07,46.1,59.08,60.85,NA
17,55.64,47.24,21.85,23.62,51.73,15.18,68.29,66.61,49.42,48.32,39.45,48.18,50.95,58.1,48.48,62.87,55.56,41.93,25.22,41.21,52.92,47.36,58.64,57.34,57.04,41.48,NA
18,50.99,44.6,29.3,20.57,40.24,15.39,52.36,54.77,48.31,43.09,38.88,52.99,49.11,53.84,38.73,63.04,52.38,38.41,21.42,37.95,49.22,45.98,65.76,55.56,51.3,52.16,NA
19,51.68,39.09,18.07,13.77,40.78,9.65,45.9,40.28,42.94,38.11,37.53,47.42,45.94,44.96,45.94,64.56,55.69,31.97,27.39,35.9,50.39,45.64,64.31,60.78,47.06,45.14,NA
20,49.23,32.32,21.37,11.35,34.71,12.69,47.75,34.72,41.14,33.93,37.26,35.23,40.6,37.46,40.44,58.64,45.93,28.87,19.75,32.5,41.64,42.48,56,60.47,39.7,45.44,NA
21,49.56,20.17,28.75,13.39,35.1,27.64,49.19,29.62,37.87,30.64,31.1,29.3,36.49,31.49,33.23,55.3,43.4,28.4,32.71,31.98,40.14,44.32,62.56,53.85,36.73,34.98,NA
22,46.07,19.21,28.21,12.07,33.25,25.41,47.68,36.23,36.42,26.1,28.11,30.92,31.8,31.08,29.62,49.85,43.13,24.79,21.51,33.94,42.06,53.35,55.32,61.4,33.09,36.82,NA
23,38.15,25.54,31.16,14.05,28.25,43.67,44.28,36.36,38.96,24.93,26.78,28.07,25.2,28.64,30.34,41.93,42.74,21.48,26.04,31.87,41.35,40.94,40.79,59.28,30.88,35.28,NA
24,37.4,28.47,31.47,14.67,33.4,27.53,47.57,36.09,38.48,24.57,25.1,32.38,24.78,23.34,33.91,41.31,40.99,23.39,16.66,29.95,34.61,35.25,45.76,47.94,31.66,27.18,NA
25,38.68,11.84,31.39,16,37.89,14.72,37.3,39.37,35.29,30.18,27.09,30.72,23.44,20.53,34.88,39.95,39.98,15.58,21.05,26.43,33.64,33.93,37.97,41.24,26.56,34.97,NA
26,36.89,10.72,33.72,17.32,37.2,8,35.43,41.24,33.55,31.1,23.93,27.72,25.59,20.86,29.99,38.55,43.96,17.59,15.65,21.41,31.49,39.24,31.99,33.44,24.39,28.26,NA
27,26.52,12.06,34.78,16.53,31.93,43.01,36.36,43.07,33.39,31.59,21.28,28.37,27.26,22.5,29.35,34.9,38.46,16.41,16.64,20.5,28.84,32.44,34.99,30.07,24.87,24.73,NA
28,37.04,13.65,46.46,14.54,39.43,44.67,32.53,39.62,30.97,38.8,26.85,26.13,25.62,21.98,25.79,30.52,35.73,18.49,21.78,21.38,29.1,26.76,30.37,28.93,23.74,27.88,NA
29,25.66,20.6,38.03,14.63,37.89,20.16,32.12,39.82,29.69,31.76,25.79,27.02,22.58,24.25,25.18,27.63,33.4,17.52,24.54,19.66,27.3,26.86,32.92,29.42,24.59,27.82,NA
30,30.48,27.14,40.43,11.12,36.94,20.65,27.99,43.7,26.52,37.53,27.8,24.37,23.83,23.21,24.24,26.38,31.77,19.74,34.13,23.15,30.51,23.8,26.38,24.36,22.67,28.17,NA
31,22.72,29.25,26.72,14.29,40.81,41.73,26.76,43.27,29.03,43.3,25.81,23.92,29.08,25.23,21.75,28.25,31.56,17,28.98,17.87,26.02,22.88,29.92,28.01,24.04,28.38,NA
32,17.12,26.2,37.81,16.12,34.63,38.91,29.92,44.8,28.04,35.56,24.71,24.57,30.55,38.63,24.61,27.44,32.11,14.54,32.02,20.83,25.68,21.03,27.42,30.28,23.44,25.28,NA
33,18.32,40.12,33.02,15.7,44.26,39.71,27.15,43.29,29.72,37.9,32.23,23.92,31.04,36.87,20.78,29.15,32.85,16.15,23.48,16.56,25.82,23.88,30.76,30.97,28.77,24.64,NA
