epi_week,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.12,73.37,NaN,NaN,NaN,NaN,NaN,NaN,NA
13,NaN,NaN,97.26,NaN,NaN,NaN,NaN,NaN,99.84,NaN,91.49,NaN,82.81,NaN,NaN,NaN,NaN,NaN,59.57,68.08,96.26,99.7,86.97,NaN,NaN,97.03,NA
14,69.98,NaN,44.91,33.51,96.47,40.48,NaN,84.41,68.87,69.1,66.3,76.9,75.71,69.41,71.33,80.02,84.59,62.43,36.79,56.41,90.5,78.15,84.59,99.6,98.08,78.41,NA
15,69.98,53.78,40.59,47.56,80.45,35.72,NaN,82.67,73.55,62.29,64.67,75.65,59.23,69.41,71.33,77.48,80.06,82.68,40.53,52.35,68.87,81.27,75.41,99.6,96.67,71.51,NA
16,62.74,51.55,36.87,NaN,69.63,40.48,80.74,78.25,96.56,55.43,68.37,65.63,52.29,67.6,98.18,69.95,77.89,58.73,28.94,45.38,65.54,78.46,84.21,63.36,75.78,67.54,NA
17,62.74,53.78,32.96,33.51,59.34,26.2,96.74,73.48,66.47,58.67,50.49,68.68,54.68,64.44,68.08,74.48,75.99,51.66,28.92,44.77,73.31,84.55,83.47,95.61,86.64,72.72,NA
18,62.05,51.55,25.04,33.51,55.51,26.28,80.17,72.88,71.93,50.78,58.14,67.01,47.25,62.79,70.28,74.08,71.55,45.32,30.42,44.88,69.08,78.53,73.28,90.47,78.33,67.46,NA
19,61.83,44.99,22.3,33.51,47.98,19.95,88.54,70.71,70.9,49.98,54.78,63.24,42,44.27,47.9,71.94,76.7,43.74,33,43.22,71.31,75.87,83.32,67.75,89.92,68.25,NA
20,63.32,48.52,21.43,25.3,50.86,20.57,68.86,63.46,60.38,43.96,48.5,58.49,39.33,50.48,41.82,67.45,73.57,40.87,32.39,43.2,69.38,76.5,72.05,69.97,78.22,61.35,NA
21,50.64,35.67,25,30.53,41.27,18.05,72.84,58.96,54.31,39.41,43.84,51.85,38.06,48.52,50.36,69.45,66.15,37.79,36.8,41.25,69.53,76.65,68.64,67.33,69.98,57.47,NA
22,54.72,29.81,21.54,15.02,37.52,17.14,56.56,47.86,59.18,37.87,48.37,54.23,38.87,42.15,40.41,70.81,68.89,32.34,24.98,40.95,70.11,73.31,63.77,55.33,60.51,55.22,NA
23,56.59,25.29,24.46,26.82,32.55,16.3,66.41,46.14,48.41,33.99,42.48,47.46,37.27,43.22,34.95,64.44,63.4,35.76,26.48,36.17,60.71,78.56,62.88,67.75,51.08,53.81,NA
24,45.47,27.74,22.72,16.39,30.92,14.31,62.08,43.84,53.08,34.84,36.9,47.75,41.45,43.3,36.71,61.75,63.83,24.4,25.91,34.25,52.95,75.79,59.71,79.49,51.74,47.32,NA
25,51.33,27.5,24.04,15.43,35.72,15.3,59.21,47.41,52.08,27.14,43.4,42.46,38.92,39.82,29.72,55.02,58.64,24.76,27.35,30.69,57.86,70.67,52.36,82.1,39.51,44.26,NA
26,47.02,28.83,22.02,23.72,34.52,19.19,73.95,47.4,51.69,24.51,35.09,41.53,39.47,37.97,27.5,51.34,59.73,24.05,26.72,27.22,46.62,55.21,50,77.67,39.11,41.38,NA
27,35.88,27.86,25.88,14.24,35.58,17.54,60.22,47.73,48.47,25.92,34.88,41.89,37.96,27.89,25.33,53.03,55.13,21.65,26.86,27,47.4,55.09,48.39,42.2,39.93,34.61,NA
28,49.28,24.37,32.9,22.38,41.36,22.28,58.01,45.33,44.14,26.58,37.09,43.08,26.97,35.56,25.76,48.33,52.61,23.97,24.03,25.54,41.19,47.03,46.18,38.54,38.23,33.97,NA
29,40.53,26.4,23.74,17.24,45.23,29.9,63.13,50.34,47.14,35.76,31.25,42.29,29.94,34.43,22.67,46.17,49.84,23,29.27,23.02,49.05,43.26,43.17,37.69,31.64,38.66,NA
30,38.11,29.71,37.17,20.45,64.86,25.04,52.26,41.48,46.65,28.87,41.32,39.39,33.6,34.63,28.24,47.63,50.74,22.46,16.83,24.14,42.47,42.47,42.04,38.5,30.21,32.38,NA
31,35.53,28.44,37.06,14.51,54.5,22.96,51.01,49.91,48.72,48.7,45.45,43.32,33.32,37.81,24.94,49.25,52.38,20.22,19.81,25.4,43.16,35.07,43.57,36.86,34.44,30.86,NA
32,36.55,37.66,34.14,18.47,43.22,25.38,43.88,58.37,48.19,44.26,43,36.63,29.91,38.87,30.93,52.6,46.55,19.34,20.55,22.8,45.54,36.4,41.02,36.74,27.33,31.65,NA
33,30.63,48.42,24.65,35.22,56.14,39.56,56.18,57.72,47.41,47.06,42.66,47.77,35.13,37.22,28.2,44.19,45.33,26.55,21.51,23.22,41.81,32.51,41.76,41.73,43.16,28.68,NA
34,24.37,36.52,31.33,26.78,46.09,24.05,41.65,67.21,45.9,54.14,42.68,39.92,35.68,45.28,29.59,42.16,39.16,29.73,19.86,23.32,41.76,36.74,38.53,36.22,NaN,31.75,NA
35,32.07,40.09,33.98,29.98,57.66,28.02,43.61,63.23,47.29,66.25,50.91,41.5,40.9,48.08,37.09,41.68,43.87,33.28,22.71,22.99,41.39,38.01,39.6,39.23,NaN,30.81,NA
36,41.05,38.71,32.28,28.64,51.64,26.2,41.29,67.67,51.1,43.39,50.16,47.11,41.15,49.2,37.92,47.37,46.29,29.13,22.01,24.86,38.86,47.72,42.6,33.7,NaN,24.82,NA
37,36.67,40.5,44.06,31.87,55.82,26.2,51.03,65.01,51.08,57.79,58.22,51.61,42.69,48.57,40.04,48.42,46.8,40.49,24.47,24.14,40.37,51.03,40.44,35.69,NaN,31.53,NA
38,30.28,40.43,30.24,33.51,47.51,37.24,44.25,66.01,49.77,50.49,53.21,51.3,42.38,47.67,46.98,44.49,40.29,36.74,22.25,26.78,38.73,44.51,43.63,36.67,NaN,32.07,NA
39,41.17,45.98,29.25,60.94,48.34,37.24,46.39,63.94,53.13,63.13,63.76,48.54,45.82,45.96,46.58,47.05,44.91,39.86,24.16,32.88,43.23,50.67,40.16,39.07,NaN,31.6,NA
40,35.97,40.2,39.66,56,59.95,24.23,46.54,65.13,57.58,52.75,55.31,51.77,44.21,45.11,47.29,42.95,43.19,NaN,22.38,26.3,38.1,52.99,38.9,35.33,NaN,33.1,NA
41,45.97,38.09,30.42,70.8,54.97,31.28,56.72,61.03,55.66,64.47,70.66,49.26,46.05,50.69,42.56,46.21,40.93,NaN,21.89,31.6,40.97,60.99,42.04,37.77,NaN,35.93,NA
