epi_week,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E-06,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26E-06,0,0,7.06E-06,1.06E-05,0,0,0,0,0,0,5.71E-06
11,0,0,1.36E-05,0,0,0,0,0,0,0,1.38E-05,0,3.92E-05,1.13E-05,1.26E-05,1.57E-05,1.27E-05,0,4.59E-05,5.03E-05,3.17E-05,1.82E-05,1.87E-05,2.68E-05,0,1.75E-05,4.00E-05
12,4.43E-05,0.000378788,6.12E-05,3.94E-05,8.41E-06,2.03E-05,2.83E-05,1.12E-05,3.91E-05,0.000323546,0.000110194,7.96E-06,0.000150236,6.76E-05,0.000113205,0.000106455,0.000148747,0.000203832,0.000352994,0.000261933,0.000195637,0.000236403,0.000294695,0.000187487,1.54E-05,5.25E-05,0.000571226
13,4.43E-05,0.000482094,0.000680096,0.000275547,6.73E-05,6.08E-05,9.90E-05,7.29E-05,6.84E-05,0.000931658,0.00077136,0.000103437,0.000222089,6.76E-05,7.55E-05,0.000269267,0.000477889,0.00026655,0.001563763,0.000811895,0.000465298,0.000531908,0.000617457,0.000200879,0.000153889,0.000161834,0.000668335
14,7.38E-05,0.00072314,0.001360193,0.00051173,0.000260629,0.000507069,9.90E-05,0.000448317,0.000127108,0.001590445,0.001446301,0.000159134,0.000698926,6.76E-05,0.000201253,0.000654383,0.000702592,0.000831008,0.002425068,0.003099701,0.001390607,0.000759219,0.00101974,0.000415149,0.000754055,0.000196825,0.001102467
15,0.000339258,0.000895317,0.005032713,0.000728232,0.00065998,0.00332637,0.000113177,0.001698002,0.000195551,0.003551214,0.001528947,0.0005331,0.004160897,0.000247787,0.00015094,0.000951829,0.000977932,0.001693374,0.004800717,0.003822674,0.001485782,0.00169574,0.00108055,0.000482108,0.000892555,0.000454883,0.000725457
16,0.001386533,0.002410468,0.005746814,0.002794835,0.001685681,0.004198527,0.000127324,0.004516798,0.000977756,0.005379446,0.003732834,0.0010662,0.008576542,0.000934832,0.000339614,0.001718929,0.001041228,0.005283954,0.006795133,0.005289885,0.001411757,0.001104731,0.000954252,0.000803514,0.000754055,0.000739186,0.001113891
17,0.00295007,0.00399449,0.011826875,0.003424658,0.004645082,0.005861712,0.000353677,0.005704839,0.001828404,0.010201456,0.003608865,0.002100573,0.00902072,0.004144798,0.001043999,0.002846095,0.001265931,0.00434319,0.0081118,0.005908472,0.001031059,0.001136555,0.001440733,0.000749946,0.001138777,0.000551109,0.001233849
18,0.004793864,0.010123967,0.016505937,0.002440561,0.008335926,0.010100805,0.00265965,0.010165597,0.003862136,0.010178067,0.007768702,0.005330999,0.030210592,0.009776316,0.0056225,0.003747828,0.001686853,0.010779579,0.013117254,0.010858135,0.001871768,0.004932648,0.002329498,0.000642811,0.001292666,0.001255303,0.003227428
19,0.008997714,0.02696281,0.039874046,0.013108172,0.013838561,0.02648926,0.006224712,0.019910897,0.005348326,0.029193239,0.007052439,0.007853278,0.02823139,0.008987903,0.012414782,0.005757941,0.003370541,0.009846656,0.021850324,0.012746758,0.001549232,0.004659875,0.004088315,0.00105796,0.002523776,0.001027862,0.004735465
20,0.009661479,0.018181818,0.052721065,0.009821288,0.027092809,0.027199156,0.008375067,0.027465045,0.009464679,0.029699998,0.015055304,0.01514163,0.03925744,0.015756989,0.019420895,0.009640403,0.004120605,0.016823983,0.017116675,0.016170251,0.002421666,0.005846438,0.005370007,0.002169488,0.005355329,0.002733674,0.007717266
21,0.017508666,0.069008264,0.062058788,0.014800819,0.044819788,0.036934872,0.01614181,0.048653647,0.011156197,0.041180048,0.021928677,0.026559516,0.054104721,0.022942806,0.025144022,0.013751429,0.005722008,0.025737715,0.044434874,0.018746086,0.004515508,0.00833322,0.012391243,0.004593422,0.007648272,0.003372261,0.010876147
22,0.024234826,0.075964187,0.079965723,0.019603212,0.057733536,0.074194268,0.022026993,0.075378968,0.015125886,0.049034818,0.038526701,0.043364099,0.043320356,0.040299146,0.021018339,0.014145937,0.010405952,0.0271567,0.062254007,0.02564623,0.00725971,0.010456304,0.013513893,0.0085976,0.015912099,0.005191795,0.016754064
23,0.043572535,0.05,0.055937921,0.039836246,0.067263311,0.061132183,0.021517698,0.071870885,0.024668785,0.059852182,0.028127109,0.054957034,0.038571578,0.062735116,0.027282333,0.030045243,0.016472926,0.043008561,0.043901854,0.032274776,0.011257046,0.010788178,0.013097577,0.010231412,0.020975039,0.00940384,0.033085421
