epi_week,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155569,0.000241779,0,0,0,0,0,0,0
13,0,0,0.000236128,0,0,0,0,0,0.00045106,0,0.000410509,0,0.000475511,0,0,0,0,0,0.000518565,0.001558135,0.000424719,0.000343879,0.000389408,0,0,0.000192715,0
14,0.000716332,0,0.002597403,0.001508296,0.000150648,0.00137931,0,0.000517866,0.00135318,0.002409111,0.001231527,0.001029513,0.0010699,0.00093985,0.001436094,0.000992767,0.000754622,0.001729107,0.002333541,0.005104234,0.001061797,0.003094911,0.000778816,0.000697837,0.000461255,0.000192715,0.00223001
15,0.000716332,0.002967359,0.0094451,0.003016591,0.001506478,0.005517241,0,0.00569653,0.00135318,0.005584757,0.003694581,0.003431709,0.006894912,0.000469925,0.000478698,0.001985534,0.001383474,0.000864553,0.005030077,0.008086181,0.004034827,0.003782669,0.00194704,0.000697837,0.000922509,0.001541723,0.00223001
16,0.001432665,0.005934718,0.025265643,0,0.003314251,0.006896552,0.000999001,0.006214397,0.00135318,0.011717039,0.005336617,0.005490734,0.015691869,0.002349624,0.000478698,0.002552829,0.002766948,0.005763689,0.012030699,0.011605416,0.004459546,0.003782669,0.001557632,0.00209351,0.000922509,0.001541723,0.003185728
17,0.001432665,0.007418398,0.029752066,0.001508296,0.009340163,0.013793103,0.000999001,0.016571724,0.00360848,0.015987735,0.006568144,0.006863418,0.020684736,0.008928571,0.001914792,0.004538363,0.002389637,0.006340058,0.011823273,0.018160327,0.004671905,0.00343879,0.002141745,0.001395673,0.001845018,0.001156292,0.000955718
18,0.01217765,0.016320475,0.050767414,0.004524887,0.031786683,0.027586207,0.001998002,0.032366649,0.0045106,0.034165572,0.006157635,0.009265614,0.029362815,0.01362782,0.00239349,0.007233017,0.00377311,0.014985591,0.018409044,0.024580916,0.004459546,0.00343879,0.005841121,0.001395673,0.000922509,0.000963577,0.001592864
19,0.012893983,0.026706231,0.109090909,0.016591252,0.045796927,0.04,0.006993007,0.036768514,0.00631484,0.046539641,0.010262726,0.016472203,0.041012839,0.026315789,0.008616563,0.010211318,0.00377311,0.019308357,0.035417963,0.027562863,0.003610108,0.004126547,0.00623053,0.001395673,0.001845018,0.003661592,0.001911437
20,0.020057307,0.028189911,0.097520661,0.042232278,0.092196445,0.053793103,0.015984016,0.044018643,0.0135318,0.060446781,0.020935961,0.020247083,0.058131241,0.039473684,0.010052657,0.012764147,0.003898881,0.028818444,0.04967849,0.028986675,0.003397749,0.005845942,0.007982866,0.002791347,0.004612546,0.003854307,0.005415737
21,0.032234957,0.041543027,0.087131051,0.033182504,0.139499849,0.067586207,0.023976024,0.052822372,0.01533604,0.075558476,0.019704433,0.025737817,0.080599144,0.047932331,0.015797032,0.01801163,0.008552383,0.041498559,0.067050404,0.03648184,0.005521342,0.007565337,0.007398754,0.001395673,0.004612546,0.004817884,0.010831475
22,0.026504298,0.080118694,0.071546635,0.069381599,0.116149443,0.08,0.01998002,0.052045572,0.0248083,0.071068769,0.049261084,0.029512697,0.070613409,0.057330827,0.03015797,0.031768543,0.005156584,0.047838617,0.071198921,0.039839888,0.006583139,0.011348006,0.00817757,0.00209351,0.009686347,0.005781461,0.019114368
23,0.054441261,0.089020772,0.043683589,0.039215686,0.1122326,0.062068966,0.024975025,0.055670637,0.035182679,0.110271572,0.04228243,0.04186685,0.062529719,0.07424812,0.028243179,0.029357538,0.012451264,0.063400576,0.070109936,0.040807006,0.011042684,0.00997249,0.012655763,0.000697837,0.019833948,0.009250337,0.01369863
24,0.058739255,0.081602374,0.05501771,0.084464555,0.07893944,0.08137931,0.031968032,0.069135163,0.054127199,0.093407797,0.050492611,0.053877831,0.060152164,0.065789474,0.051699378,0.03162672,0.010438938,0.06426513,0.049937772,0.041102515,0.016988745,0.009628611,0.011876947,0.006978367,0.044280443,0.007708614,0.023255814
25,0.071633238,0.060830861,0.043683589,0.075414781,0.059505875,0.046896552,0.046953047,0.064215432,0.056833559,0.076434516,0.067323481,0.041180508,0.043033761,0.066729323,0.063188128,0.039427032,0.022387121,0.077521614,0.06388716,0.051391575,0.02463368,0.015130674,0.016549844,0.009769714,0.064575646,0.015995375,0.033450143
26,0.051575931,0.080118694,0.028807556,0.051282051,0.03946972,0.073103448,0.016983017,0.067063698,0.058637799,0.051905388,0.081280788,0.052505148,0.065977175,0.059210526,0.075155577,0.049354701,0.030562193,0.060518732,0.049937772,0.047496239,0.028456148,0.02303989,0.024338006,0.016050244,0.086254613,0.02698015,0.038547308
27,0.037249284,0.051928783,0.034474616,0.132730015,0.036004821,0.048275862,0.027972028,0.062661833,0.075778078,0.049167762,0.133825944,0.063829787,0.047669995,0.068139098,0.085208234,0.049780173,0.03659917,0.072334294,0.043352002,0.046663443,0.039711191,0.02647868,0.031347352,0.034193999,0.111162362,0.035845057,0.038228735
28,0.06017192,0.048961424,0.024793388,0.043740573,0.026363362,0.04,0.033966034,0.0624029,0.069012179,0.046430136,0.073070608,0.057652711,0.052068474,0.061090226,0.081857348,0.054602184,0.043516539,0.067435159,0.040344327,0.045669461,0.053089828,0.035763411,0.044392523,0.030704815,0.111623616,0.043360956,0.05925454
29,0.049426934,0.048961424,0.025029516,0.049773756,0.0305815,0.048275862,0.037962038,0.064733299,0.073973839,0.032194481,0.078407225,0.077899794,0.043984784,0.054981203,0.075155577,0.050347468,0.049553515,0.05907781,0.026861647,0.052116914,0.061159482,0.060866575,0.055685358,0.042568039,0.140682657,0.046251686,0.057980248
30,0.082378223,0.045994065,0.019126328,0.067873303,0.021542633,0.067586207,0.052947053,0.057483169,0.064501579,0.035479632,0.039819376,0.067947838,0.043033761,0.049342105,0.06510292,0.048503758,0.052697774,0.052449568,0.045944825,0.050424457,0.073263963,0.074277854,0.063084112,0.05722261,0.11300738,0.056658316,0.058935967
31,0.055873926,0.077151335,0.016056671,0.060331825,0.021241338,0.019310345,0.048951049,0.034955981,0.056833559,0.024310118,0.085796388,0.054221002,0.035306705,0.044172932,0.096218286,0.052900298,0.042007295,0.051873199,0.038788633,0.045938104,0.068379698,0.093878955,0.076713396,0.069783671,0.132380074,0.060127192,0.059891685
32,0.042979943,0.035608309,0.018181818,0.051282051,0.016872552,0.044137931,0.055944056,0.03158985,0.050067659,0.027704774,0.037766831,0.051475635,0.037803138,0.039473684,0.060794639,0.053893065,0.079109546,0.044092219,0.026706078,0.047979798,0.071989807,0.090096286,0.077686916,0.073272854,0.113468635,0.06186163,0.066581714
33,0.052292264,0.025222552,0.025501771,0.027149321,0.007984333,0.017931034,0.05994006,0.025634386,0.057735679,0.019053876,0.040640394,0.053191489,0.027936282,0.036184211,0.057922451,0.062118848,0.08061879,0.039481268,0.023542833,0.047039544,0.072839244,0.120357634,0.058605919,0.081646895,0.036900369,0.057814608,0.072634597
34,0.035100287,0.03264095,0.022195986,0.018099548,0.017324495,0.023448276,0.073926074,0.022527188,0.047812359,0.017192291,0.04228243,0.051475635,0.024369948,0.031954887,0.035423648,0.069351865,0.090177336,0.043804035,0.038529351,0.043493445,0.0615842,0.088376891,0.07788162,0.078157711,0,0.080940451,0.087926091
35,0.045845272,0.014836795,0.018181818,0.012066365,0.008737572,0.04,0.078921079,0.021750388,0.045557059,0.010731494,0.021756979,0.0459849,0.021279125,0.028195489,0.03255146,0.065806269,0.06213055,0.032853026,0.03884049,0.035165485,0.048630282,0.066024759,0.065809969,0.078855548,0,0.064174215,0.058298821
36,0.039398281,0.023738872,0.048878394,0.015082956,0.020036155,0.016551724,0.083916084,0.01941999,0.035182679,0.020148927,0.026272578,0.036719286,0.022349025,0.02537594,0.022020105,0.045525457,0.067915985,0.033429395,0.026394939,0.043439716,0.073263963,0.059491059,0.064057632,0.080251221,0,0.073809983,0.071997451
37,0.04226361,0.019287834,0.011097993,0.018099548,0.013558301,0.009655172,0.050949051,0.018125324,0.033378439,0.012921594,0.013136289,0.029855868,0.020803614,0.022556391,0.029200574,0.033895901,0.050433908,0.024495677,0.023957685,0.033634214,0.05563814,0.043328748,0.063278816,0.069085834,0,0.066294084,0.054794521
38,0.040830946,0.014836795,0.015820543,0.004524887,0.016872552,0.017931034,0.066933067,0.01941999,0.031574199,0.013031099,0.014367816,0.02676733,0.017831669,0.019736842,0.01388224,0.049780173,0.057602817,0.021902017,0.033499274,0.036562433,0.060947123,0.041609354,0.064836449,0.074668528,0,0.067064945,0.048423065
39,0.026504298,0.011869436,0.015584416,0.033182504,0.016721904,0.015172414,0.050949051,0.018384257,0.026161479,0.011936049,0.009852217,0.031914894,0.019139325,0.016917293,0.018190522,0.046234577,0.061375928,0.023919308,0.031891724,0.030141844,0.053514547,0.034044017,0.047507788,0.062805304,0,0.06976296,0.039503026
