epi_week,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
9,36.74693438,33.83547363,35.21706419,37.46245418,32.72628858,36.00672213,34.82291484,35.35031166,33.4066536,33.79158323,34.0768605,34.30704254,34.47789319,34.81106869,32.70490658,34.49587404,34.78520418,32.21284706,37.66932056,32.59301016,34.61508288,35.67627141,34.06262641,33.76517693,33.91235054,32.6223013,30.95283409
10,35.14773557,30.02144926,32.71496747,35.06259824,29.75020745,32.78987649,30.86919363,31.85384748,30.23210537,31.51539442,31.92585342,31.29663151,31.23875976,32.64878221,29.80740159,31.3801003,32.01742603,29.17325495,33.63109247,29.59693626,31.18962699,33.71838619,31.4253216,31.83218344,30.50981473,29.4487182,28.36026729
11,36.38937594,31.19549627,33.05998691,36.73204934,31.48109731,34.45677164,32.26042974,32.27929927,30.8988457,33.22739159,32.93462653,32.35547263,31.22534976,34.04982836,31.61985419,32.07111031,31.74402856,31.17815977,32.85285261,31.69785795,32.03956644,34.10800995,32.52102501,32.85175547,31.10818756,31.09741056,29.49025229
12,42.79292539,37.18246531,42.71102825,41.46214264,37.39779401,42.36303259,41.24038806,38.79809945,38.25911456,37.53744029,37.29162646,38.34587535,37.59768417,37.98787133,36.93464141,38.47533434,39.94903489,37.60813226,43.09150856,36.38657834,40.68976459,39.85508338,37.06596681,45.23660388,38.72277751,37.45725343,36.88931958
13,55.10602678,52.88634151,55.30075901,52.34271423,52.25372186,57.0046956,57.38828243,53.61378751,52.46889658,50.54856776,51.17496148,53.4828999,52.51313161,49.61216224,52.91179276,55.42534228,55.15036089,54.2641641,56.04431608,50.69493472,59.42238186,53.88737806,50.16793247,62.615312,54.22141408,50.84430182,48.4843972
14,50.42670284,48.2645488,50.31706546,51.76358074,47.49269513,51.5065775,51.01401096,48.73018135,46.65032589,46.61376925,45.71366639,47.66572747,48.0664865,46.28825778,47.86967185,50.51585736,51.15138383,48.8944354,52.21373445,46.81640234,53.69710766,47.88088669,45.00616004,53.61163841,51.11914912,46.08749469,42.41152856
15,49.42889797,45.7834043,49.96719497,54.60338463,46.57581664,50.48896881,49.60470989,47.3761509,45.02065741,46.29950011,45.14427713,45.02544262,47.11247904,46.97673217,46.4213137,48.6220827,49.98616596,47.96302687,51.75503124,45.65920026,51.43253429,47.15276396,45.0731944,49.79461501,49.82318233,44.40356561,41.88985167
16,48.48013117,43.70616022,48.25628979,52.86332983,44.28061735,48.64167454,47.41224831,44.70789223,42.92986691,44.81797211,42.10560222,42.23700344,44.02217172,46.72174327,44.18070061,44.98398097,48.71179909,45.0893607,49.70203886,43.73602279,47.57015452,45.78238815,43.29303986,45.431716,47.24225594,42.3288433,38.92769098
17,49.18008721,44.85580515,48.00050439,54.00465236,45.6018421,49.35086917,47.75890298,46.29493761,42.44114285,46.1848703,42.59040298,42.88505363,44.63869108,48.70039211,44.66092172,45.11017916,50.01588933,45.1869555,50.80581515,43.83908158,47.37167715,46.09331768,43.02461298,45.60852524,47.32944395,43.32336769,40.35374362
18,47.53766222,44.72267088,49.28384888,51.20648159,43.26700609,47.56242752,45.75847153,44.3608321,40.59929209,45.59371146,41.30749626,41.78364354,43.26929118,49.21361484,43.15026368,43.65212651,48.45520451,43.92963444,49.74639132,42.01759707,46.39580213,44.9138494,42.50842514,44.36437927,46.01220394,40.44836157,39.28090255
19,47.45971498,43.24469089,49.33573717,48.87893864,41.88112582,48.45047265,43.34101284,42.07654479,38.42753601,47.71425233,39.72748427,39.84269397,40.83519908,48.15851872,42.90151836,41.02771401,46.39980726,43.56759402,47.99101058,41.02847724,42.83313522,43.17758866,41.77117188,41.21797611,44.08980266,40.78670827,38.27601004
20,48.7389089,45.15854992,51.55026491,48.60647563,43.17224605,51.21913793,43.01493828,42.30398851,37.82433544,49.18502177,39.08679212,39.79890171,40.3208474,50.64403374,45.56273988,39.9330427,48.56712888,45.58862922,47.97555024,43.15597397,42.81600558,44.21512473,42.1617438,40.41274687,43.94063301,41.54606298,38.77355237
21,50.33242144,45.88564999,55.29934139,47.69095754,43.86213163,49.28559312,43.12703863,42.02555877,38.20345506,45.27343269,39.50861372,39.53349885,40.12816834,49.6410115,45.56818347,40.32699328,50.33332271,45.21533619,46.52050201,42.76349602,42.79294898,44.85591319,43.57914421,40.6393138,43.63754018,43.26948777,40.47754393
22,48.78503241,45.67990289,52.43810654,45.03398111,44.07202837,47.64242776,42.50053865,41.71785624,38.01548909,43.0173537,39.48756747,39.36601199,40.11811945,45.0796678,44.22322185,39.83281969,47.78796161,43.92979402,45.68962688,42.44033417,41.81478823,43.93513999,43.11293468,40.04024985,43.9310222,41.2140425,38.39547255
