epi_week,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,5,0
12,19,14,18,14,22,19,37,18,41,15,12,7,10,19,11,34,22,19,39,22,21,32,12,36,26,25,13
13,45,52,42,44,32,54,45,46,56,43,39,21,27,38,38,43,42,39,45,54,52,56,28,50,49,35,44
14,43,48,43,49,32,59,44,52,56,47,39,22,47,38,38,43,48,39,49,54,53,58,44,50,44,39,47
15,43,43,45,58,32,60,44,51,56,58,39,22,53,42,38,43,49,39,47,57,49,58,54,51,44,39,47
16,48,43,46,58,36,60,44,51,56,63,41,22,53,47,39,43,49,39,46,63,52,58,48,58,49,39,25
17,61,47,46,63,40,60,44,57,57,61,51,22,41,49,49,47,49,39,49,61,61,58,46,54,55,41,30
18,61,47,46,63,40,60,55,57,57,62,52,22,32,52,50,49,59,44,49,58,58,58,53,53,58,43,38
19,56,53,46,63,41,56,57,55,57,64,53,22,32,61,50,49,61,51,51,62,59,58,65,53,61,48,45
20,54,56,51,63,41,65,57,58,57,64,53,22,32,65,51,49,63,51,57,67,62,58,53,53,61,51,52
21,34,53,56,71,41,65,54,58,57,65,53,22,32,63,56,56,63,51,57,67,67,58,53,53,61,51,56
22,32,50,56,75,41,65,46,59,57,67,53,22,32,63,56,56,62,51,57,67,67,63,58,53,61,51,40
23,32,60,51,68,41,57,46,61,57,64,53,22,32,61,66,56,62,51,54,70,66,67,58,48,61,56,40
24,32,61,50,62,41,51,50,61,57,64,53,22,30,61,61,56,61,51,61,75,64,67,58,47,61,57,40
25,32,61,50,61,41,51,46,61,57,64,53,22,30,61,44,56,62,51,61,75,61,67,51,47,58,57,40
26,43,59,50,61,41,52,46,61,57,64,53,33,34,61,44,51,63,51,61,75,58,67,50,47,58,57,40
27,44,43,50,65,41,63,38,59,66,61,60,35,34,61,44,50,63,53,61,65,58,67,52,47,46,57,40
28,38,56,50,67,41,67,36,47,68,58,65,54,34,61,44,50,62,54,57,58,58,67,53,38,44,61,40
29,38,56,50,67,41,67,50,47,39,58,65,35,34,51,38,50,62,54,56,58,58,67,53,44,47,58,40
30,44,56,50,67,41,67,50,47,35,58,65,42,34,47,38,50,63,54,56,58,58,67,53,39,47,50,40
31,44,56,50,67,41,67,50,47,35,58,65,47,51,46,39,50,61,54,56,55,63,67,53,47,47,50,40
32,33,56,50,67,41,67,50,48,35,57,65,46,52,42,42,50,56,54,44,45,67,67,53,47,47,49,40
33,33,52,45,67,41,67,50,44,35,58,65,46,52,42,42,48,46,54,39,40,66,67,53,47,47,46,40
34,33,50,44,67,41,67,50,43,35,58,65,46,42,42,42,44,35,54,39,36,64,67,53,47,39,46,40
35,33,50,44,67,40,65,50,38,35,54,61,47,29,39,42,44,33,54,39,36,64,67,53,44,39,43,40
36,33,50,44,67,40,58,50,38,35,42,42,53,29,28,42,44,33,54,38,36,64,67,51,31,39,35,40
37,33,50,44,67,40,58,50,38,39,42,42,55,29,25,42,44,33,54,33,36,64,67,48,31,39,35,40
38,33,50,44,48,40,58,50,38,46,42,40,51,29,25,42,43,33,54,34,36,64,67,47,32,39,35,40
39,33,50,37,33,40,54,50,35,46,42,20,51,29,25,38,39,33,54,36,36,64,67,55,36,39,35,40
40,33,37,28,33,40,46,50,34,46,35,19,46,29,25,31,29,33,54,36,36,64,67,50,34,39,35,37
41,33,33,28,33,40,39,50,22,46,28,15,46,32,25,31,28,33,53,36,36,64,67,47,31,39,35,35
